Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate2-L03	0	0	28	0	94944
Plate2-L04	0	1	36	14	2534
Plate2-L05	0	0	29	1560	227406
Plate2-L06	0	0	34	303	63051
Plate2-L07	0	0	25	2929	61450
Plate2-L08	0	0	35	774	20654
Plate2-L09	0	0	27	20747	179574
Plate2-L10	0	0	23	23087	184516
Plate2-L11	0	1	24	46970	151986
Plate2-L12	0	0	30	25	163
Plate2-L13	0	0	12	12785	20074
Plate2-L14	0	0	11	1868	2150
Plate2-L15	1	0	19	197799	75850
Plate2-L16	1	1	33	592	316
Plate2-L17	2	0	40	283620	37433
Plate2-L18	0	0	41	343114	58036
Plate2-L19	2	0	28	301004	13599
Plate2-L20	0	0	36	81515	3813
Plate2-L21	1	0	48	306285	4195
Plate2-L22	2	0	62	218742	4042
Plate2-L23	5	0	37	311123	1395
Plate2-L24	0	0	46	17092	162
Plate2-M01	0	0	57	175	166046
Plate2-M02	0	0	123	8	296673
Plate2-M03	0	0	9	258	206964
Plate2-M04	0	0	7	409	27807
Plate2-M05	0	1	7	51	91
Plate2-M06	0	0	13	60	257707
Plate2-M07	0	2	28	7	120995
Plate2-M08	0	0	28	12	201595
Plate2-M09	0	1	64	1182	166695
Plate2-M10	0	1	63	35	315291
Plate2-M11	0	0	2	6	44372
Plate2-M12	0	0	7	1	236736
Plate2-M13	0	0	61	145	99712
Plate2-M14	0	0	60	216	298320
Plate2-M15	0	0	12	10	147143
Plate2-M16	0	0	19	6	98617
Plate2-M17	0	1	35	13	243394
Plate2-M18	0	0	35	8	188236
Plate2-M19	0	1	43	20	88652
Plate2-M20	0	1	51	18	323620
Plate2-M21	0	0	8	15	122276
Plate2-M22	0	0	9	16	317168
Plate2-M23	0	1	43	19	3965
Plate2-M24	0	0	47	1697	315897
Plate2-N01	0	0	73	5	228221
Plate2-N02	0	0	73	4	869
Plate2-N03	0	2	10	385	56034
Plate2-N04	0	0	14	136	9885
Plate2-N05	0	2	9	94	53830
Plate2-N06	0	1	13	43	14013
